SK_ID_CURR,pd_calibrated,band,decision,pd_raw
100001,0.0266323024054982,Medium,Approve,0.2235470081151286
100005,0.1445874337623013,Very High,Decline/Review,0.5978283602147203
100013,0.0176817288801571,Low,Approve,0.150508520551847
100028,0.0311418685121107,Medium,Approve,0.2403687738886346
100038,0.125,Very High,Decline/Review,0.5917568046387391
100042,0.0459057071960297,Elevated,Approve,0.3022243672862943
100057,0.0176817288801571,Low,Approve,0.1307727699291704
100065,0.0570291777188328,Elevated,Approve,0.362517930798382
100066,0.0111209964412811,Low,Approve,0.0837048067531806
100067,0.0789473684210526,High,Approve,0.4548627937965436
100074,0.0789473684210526,High,Approve,0.4274952317206855
100090,0.0459057071960297,Elevated,Approve,0.3380762398707412
100091,0.1445874337623013,Very High,Decline/Review,0.6153834193857025
100092,0.0834213305174234,High,Approve,0.4948198096343419
100106,0.0789473684210526,High,Approve,0.4312603682892668
100107,0.1752423564504101,Very High,Decline/Review,0.7051659342667611
100109,0.0789473684210526,High,Approve,0.4386886184694409
100117,0.0326827054017249,Medium,Approve,0.2490472629299302
100128,0.0789473684210526,High,Approve,0.4384197997971106
100141,0.0266323024054982,Medium,Approve,0.199055494090156
100150,0.0111209964412811,Low,Approve,0.0823197947741566
100168,0.003030303030303,Very Low,Approve,0.0464685317916831
100169,0.0326827054017249,Medium,Approve,0.2424813215163065
100170,0.103542234332425,High,Decline/Review,0.5128420703708982
100171,0.0570291777188328,Elevated,Approve,0.3619109035982786
100172,0.1445874337623013,Very High,Decline/Review,0.6110948378259996
100184,0.073170731707317,Elevated,Approve,0.3909943095788537
100187,0.0789473684210526,High,Approve,0.4228250100872478
100212,0.0834213305174234,High,Approve,0.4851710850398112
100222,0.0517435320584926,Elevated,Approve,0.3488790586247904
100223,0.0176817288801571,Low,Approve,0.1517533343421838
100232,0.0176817288801571,Low,Approve,0.1520565244558514
100241,0.298989898989899,Very High,Decline/Review,0.7837596535305478
100245,0.0111209964412811,Low,Approve,0.1174016188440437
100253,0.0266323024054982,Medium,Approve,0.1830349607525677
100256,0.0834213305174234,High,Approve,0.4878655398214082
100271,0.0105540897097625,Very Low,Approve,0.06095920644088
100278,0.1752423564504101,Very High,Decline/Review,0.6807682654521913
100280,0.0111209964412811,Low,Approve,0.1009391444601896
100306,0.1976401179941003,Very High,Decline/Review,0.7228835731886425
100311,0.1752423564504101,Very High,Decline/Review,0.6924166355629776
100312,0.0176817288801571,Low,Approve,0.1567559393631948
100330,0.1445874337623013,Very High,Decline/Review,0.6289958889227014
100331,0.0459057071960297,Elevated,Approve,0.3002293837598376
